file,module,function,lineno,status,details,call_expression,target_module,target_name,classification,args_provided,keywords,star_args,kw_args
check_architecture.py,check_architecture,,11,unresolved,Target not resolved; likely dynamic or external,sys.path.insert,sys.path,insert,unresolved,2,,False,False
check_architecture.py,check_architecture,main,22,unresolved,Target not resolved; likely dynamic or external,ArchitectureChecker,architecture_checker,ArchitectureChecker,unresolved,1,,False,False
check_architecture.py,check_architecture,main,28,unresolved,Target not resolved; likely dynamic or external,report.has_errors,check_architecture,report.has_errors,unresolved,0,,False,False
opencli.py,opencli,,21,unresolved,Target not resolved; likely dynamic or external,sys.path.insert,sys.path,insert,unresolved,2,,False,False
advanced_profiler.py,advanced_profiler,,30,unresolved,Target not resolved; likely dynamic or external,matplotlib.use,matplotlib,use,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,,42,unresolved,Target not resolved; likely dynamic or external,matplotlib.use,matplotlib,use,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler._categorize_thread,88,unresolved,Target not resolved; likely dynamic or external,thread_name.lower,advanced_profiler,thread_name.lower,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler._categorize_thread,91,unresolved,Target not resolved; likely dynamic or external,pattern.lower,advanced_profiler,pattern.lower,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler._categorize_thread,95,unresolved,Target not resolved; likely dynamic or external,pattern.lower,advanced_profiler,pattern.lower,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,105,unresolved,Target not resolved; likely dynamic or external,datetime.now().isoformat,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,110,unresolved,Target not resolved; likely dynamic or external,sys._current_frames().items,,,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,131,unresolved,Target not resolved; likely dynamic or external,current_frame.filename.split,advanced_profiler,current_frame.filename.split,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,135,unresolved,Target not resolved; likely dynamic or external,stack[-2].filename.split,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,155,unresolved,Target not resolved; likely dynamic or external,sample['threads'].append,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,158,unresolved,Target not resolved; likely dynamic or external,self.function_timeline[func_id].append,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.capture_sample,162,unresolved,Target not resolved; likely dynamic or external,self.call_graph[caller_id].append,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.profile,184,unresolved,Target not resolved; likely dynamic or external,self.samples.append,,,unresolved,1,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,218,unresolved,Target not resolved; likely dynamic or external,function_calls.items,advanced_profiler,function_calls.items,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,225,unresolved,Target not resolved; likely dynamic or external,thread_activity.items,advanced_profiler,thread_activity.items,unresolved,0,,False,False
advanced_profiler.py,advanced_profiler,AdvancedProfiler.analyze,233,unresolved,Target not resolved; likely dynamic or external,self.call_graph.values,,,unresolved,0,,False,False
